Method,Model,SST-2,BoolQ,RTE,CB,WSC,WiC,MultiRC,COPA,ReCoRD,SQuAD,DROP
MeZO (WF32AF32),LLaMA2-7b,94.8,,63.73,,63.46,,65.1,86,81,90.71,51.38
MaZO,LLaMA2-7b,90.6,76,62.8,,56.7,52.6,58.6,82,,55.5,
QuZO WI4WI8,LLaMA2-7b,89.1,66.6,54.87,62.5,64.42,57.99,60.6,83,78.2,78.12,31.8
QuZO WI4AF8,LLaMA2-7b,90.59,68.4,59.92,63.71,64.5,59.7,59.3,80,78.6,79.89,33.55
QuZO WI8AI8,LLaMA2-7b,93,80,61.01,64.18,63.46,52.82,60.01,81,79,77.71,31.11
QuZO (WI8AF8),LLaMA2-7b,93.08,81.1,65.95,64.28,64.57,55.17,60.11,83,79.6,80.74,36.58
MeZO (WF32AF32),OPT-1.3B,94.8,,63.73,,63.46,,65.1,86,81,90.71,51.38
QuZO (FT) (WI8AI8),OPT-1.3B,91.38,55.61,67.85,62.3,63.46,60.03,55.91,74,70.81,73.88,21.82
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
