Method,Model,BoolQ,CB,COPA,DROP,MNLI,MultiRC,ReCoRD,RTE,SQuAD,SNLI,SST-2,SST-5,TREC,WIC,WSC
ZERO-SHOT,OPT-13B,59.1,46.4,80,14.4,,46.7,81,59.4,46.6,,58.5,,,55.2,38.3
FT,OPT-13B,76.4,84,79,31.5,,71.1,74.1,70.7,84.7,,91.5,,,70,63.5
MeZO,OPT-13B,67.6,67.9,88,30.9,,60.1,81.7,66.1,84.7,,91.4,,,61.1,63.5
MeZO (LoRA),OPT-13B,73.8,66.1,84,31.4,,61.5,81.2,67.9,83.8,,89.6,,,59.7,64.4
MeZO (prefix),OPT-13B,73.1,69.6,87,28.9,,63.7,81.4,70.8,84.2,,90.7,,,59.9,60.6
SubZO,OPT-13B,66.1,67.9,86,30.5,,57.3,81.9,61.9,80.7,,91.3,,,55.9,63.5
SubZero(FT),OPT-13B,75.3,73.2,88,32,,61,82.3,74,84.5,,92,,,60.8,65.4
SubZero(LoRA),OPT-13B,76.1,71.4,89,31.3,,60.3,81.9,75.5,83.7,,93.8,,,60.3,65.4
TeZO,OPT-13B,65.1,69.6,87,29.6,,56.8,81.2,61.1,80.7,,90.2,,,54.3,63.5
MeZO-M,OPT-13B,65.5,67.9,88,30.4,,57.9,81.5,60.7,79.5,,90.6,,,54.6,62.5
TEZO-M,OPT-13B,64.6,69.6,88,30,,56.7,81.3,61.4,80.9,,91.1,,,55.6,63.5
MeZO-ADAM,OPT-13B,70,67.9,88,30.5,,58.9,81.1,70.5,80.8,,92.4,,,58.7,62.5
TEZO-ADAM,OPT-13B,71.8,69.6,86,29.8,,60.3,81.5,71.8,84,,93.3,,,60.5,59.9
LoRA (rank=4),RoBERTa-Base,,,,,,,,78.7,,,92.89,,,,
GaLore (rank=4),RoBERTa-Base,,,,,,,,79.42,,,94,,,,
LORENZA (rank=4),RoBERTa-Base,,,,,,,,81.26,,,94.63,,,,
LoRA (rank=8),RoBERTa-Base,,,,,,,,79.06,,,93.46,,,,
GaLore (rank=8),RoBERTa-Base,,,,,,,,79.78,,,94.38,,,,
LORENZA (rank=8),RoBERTa-Base,,,,,,,,81.17,,,94.84,,,,
0.1% MeZO,LLaMA2-7b,83,66.7,85,,,,,74.7,,,94.7,,,65.2,57.4
AdaZeta,LLaMA2-7b,79.4,75,94,,,68.2,71.2,74,,,91,,,58,52.2
MeZO-LoRA,LLaMA2-7b,71.6,74,89,,,67.2,72,59.6,,,86.8,,,55.2,53
Prefix tuning,LLaMA2-7b,80.3,63.1,82,,,,,65.5,,,80.5,,,58.3,54.5
Sparse MeZO,LLaMA-7b,80.9,76,86.7,,,73.3,70.6,80.7,64.4,,95,,,64.9,52.2
MeZO,LLaMA-7b,81.9,66.7,86.3,,,69.8,0.7925,73.3,0.7489,,94.6,,,61.9,58
